Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
3980,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,"Konigsburg, E.L.",,"=""0744583276""","=""9780744583274""",5,4.15,Walker Books Ltd,Paperback,125,2003,1967,,2016/10/16,ya,ya (#18),read,,,,1,,,0,,,,,
13324841,"Son (The Giver, #4)",Lois Lowry,"Lowry, Lois",,"=""0547887205""","=""9780547887203""",0,3.98,HMH Books for Young Readers,Hardcover,393,2012,2012,,2016/10/16,"to-read, ya","to-read (#4), ya (#19)",to-read,,,,0,,,0,,,,,
12930,"Messenger (The Giver, #3)",Lois Lowry,"Lowry, Lois",,"=""0385732538""","=""9780385732536""",4,3.90,Ember,Paperback,169,2006,2004,,2016/10/16,ya,ya (#20),read,,,,1,,,0,,,,,
12936,"Gathering Blue (The Giver, #2)",Lois Lowry,"Lowry, Lois",,"=""0385732562""","=""9780385732567""",4,3.80,Delacorte Press,Paperback,240,2000,2000,,2016/10/16,ya,ya (#21),read,,,,1,,,0,,,,,
225243,"The Constellation of Sylvie (The Sylvie Cycle, #3)",Roderick Townley,"Townley, Roderick",,"=""0689857136""","=""9780689857133""",0,3.68,Atheneum Books,Hardcover,192,2006,2005,,2016/10/16,"to-read, ya","to-read (#3), ya (#22)",to-read,,,,0,,,0,,,,,
14979,"Into the Labyrinth (The Sylvie Cycle, #2)",Roderick Townley,"Townley, Roderick",Omar Rayyan,"=""1416913920""","=""9781416913924""",4,3.58,Aladdin Paperbacks,Paperback,254,2006,2002,,2016/10/16,ya,ya (#23),read,,,,1,,,0,,,,,
4117,"The Great Good Thing (The Sylvie Cycle, #1)",Roderick Townley,"Townley, Roderick",,"=""0689837143""","=""9780689837142""",5,3.88,Simon & Schuster Childrens Books,Paperback,224,2003,2001,,2016/10/16,ya,ya (#24),read,,,,1,,,0,,,,,
8088,Sunshine,Robin McKinley,"McKinley, Robin",,"=""0515138819""","=""9780515138818""",3,3.85,Jove,Mass Market Paperback,405,2004,2003,,2016/10/16,ya,ya (#25),read,,,,1,,,0,,,,,
77366,"The Hero and the Crown (Damar, #2)",Robin McKinley,"McKinley, Robin",,"=""0441328091""","=""9780441328093""",5,4.21,Ace,Mass Market Paperback,240,1987,1984,,2016/10/16,ya,ya (#26),read,,,,1,,,0,,,,,
407813,"The Blue Sword (Damar, #1)",Robin McKinley,"McKinley, Robin",,"=""0441068804""","=""9780441068807""",5,4.24,Ace,Paperback,256,1987,1982,,2016/10/16,ya,ya (#27),read,,,,1,,,0,,,,,
13831,"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,"Pierce, Tamora",,"=""0689878559""","=""9780689878558""",4,4.27,Simon Pulse,Mass Market Paperback,274,2005,1983,,2016/10/16,ya,ya (#28),read,,,,1,,,0,,,,,
24774,Clockwork,Philip Pullman,"Pullman, Philip",Leonid Gore,"=""043985623x""","=""9780439856232""",4,3.84,Scholastic,Paperback,144,2006,1996,,2016/10/16,ya,ya (#29),read,,,,1,,,0,,,,,
123070,The Firework-Maker's Daughter,Philip Pullman,"Pullman, Philip",S. Saelig Gallagher,"=""0439856248""","=""9780439856249""",5,3.69,Scholastic,Paperback,128,2006,1995,,2016/10/16,ya,ya (#30),read,,,,1,,,0,,,,,
531197,"Lyra's Oxford (His Dark Materials, #3.5)",Philip Pullman,"Pullman, Philip",John Lawrence,"=""0375828192""","=""9780375828195""",3,3.52,Knopf Books for Young Readers,Hardcover,64,2003,2003,,2016/10/16,ya,ya (#31),read,,,,1,,,0,,,,,
18122,"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,"Pullman, Philip",,"=""0440238153""","=""9780440238157""",5,4.07,Laurel Leaf,Mass Market Paperback,467,2003,2000,,2016/10/16,ya,ya (#32),read,,,,1,,,0,,,,,
119324,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,"Pullman, Philip",,"=""0679879250""","=""9780679879251""",5,4.10,Knopf Books for Young Readers,Hardcover,326,1997,1997,,2016/10/16,ya,ya (#33),read,,,,1,,,0,,,,,
25735012,"Career of Evil (Cormoran Strike, #3)",Robert Galbraith,"Galbraith, Robert",J.K. Rowling,"=""0316349933""","=""9780316349932""",4,4.21,Mulholland Books,Hardcover,492,2015,2015,,2016/10/16,fiction,fiction (#2),read,,,,1,,,0,,,,,
18214414,"The Silkworm (Cormoran Strike, #2)",Robert Galbraith,"Galbraith, Robert",J.K. Rowling,"=""0316206873""","=""9780316206877""",4,4.04,Mulholland Books,Hardcover,455,2014,2014,,2016/10/16,fiction,fiction (#3),read,,,,1,,,0,,,,,
16160797,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,"Galbraith, Robert",J.K. Rowling,"=""0316206849""","=""9780316206846""",4,3.84,"Mulholland Books / Little, Brown and Company",Hardcover,455,2013,2013,,2016/10/16,fiction,fiction (#4),read,,,,1,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0545010225""","=""9780545010221""",5,4.61,Arthur A. Levine Books,Hardcover,759,2007,2007,,2016/10/16,ya,ya (#34),read,,,,1,,,0,,,,,
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439785960""","=""9780439785969""",5,4.54,Scholastic Inc.,Paperback,652,2006,2005,,2016/10/16,ya,ya (#35),read,,,,1,,,0,,,,,
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439358078""","=""9780439358071""",5,4.46,Scholastic Inc.,Paperback,870,2004,2003,,2016/10/16,ya,ya (#36),read,,,,1,,,0,,,,,
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139600""","=""9780439139601""",5,4.53,Scholastic Inc.,Paperback,734,2002,2000,,2016/10/16,ya,ya (#37),read,,,,1,,,0,,,,,
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,4.53,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2016/10/16,ya,ya (#38),read,,,,1,,,0,,,,,
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439064864""","=""9780439064866""",5,4.38,Scholastic Inc.,Hardcover,341,1999,1998,,2016/10/16,ya,ya (#39),read,,,,1,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439554934""","=""9780439554930""",5,4.44,Scholastic Inc,Hardcover,320,1997,1997,,2016/10/16,ya,ya (#40),read,,,,1,,,0,,,,,
23093367,"Saga, Vol. 4 (Saga, #4)",Brian K. Vaughan,"Vaughan, Brian K.",Fiona Staples,"=""1632150778""","=""9781632150776""",5,4.47,Image Comics,Paperback,152,2014,2014,,2016/10/16,"favorites, comic-books","favorites (#1), comic-books (#12)",read,,,,1,,,0,,,,,
19358975,"Saga, Vol. 3 (Saga, #3)",Brian K. Vaughan,"Vaughan, Brian K.",Fiona Staples,"=""1607069318""","=""9781607069317""",5,4.56,Image Comics,Paperback,144,2014,2014,,2016/10/16,"favorites, comic-books","favorites (#2), comic-books (#11)",read,,,,1,,,0,,,,,
17131869,"Saga, Vol. 2 (Saga, #2)",Brian K. Vaughan,"Vaughan, Brian K.",Fiona Staples,"=""1607066920""","=""9781607066927""",5,4.56,Image Comics,Paperback,144,2013,2013,,2016/10/16,"favorites, comic-books","favorites (#3), comic-books (#10)",read,,,,1,,,0,,,,,
